FAD Accession Number,Date Found   ,Location Found on Palmyra Atoll,"x (Lon, Easting)","y (Lat, Northing)",Distingushing Features,Serial Number,Notes,Contacted manufacturer/ company regarding serial number,KF notes about map placement,
2016-10,not recorded,not recorded ,,,"""OK"" Green sticker on top, ""SAJO"" in white letters on dome",ISL+107592,Sajo Industries is a Korea-based company engaged in the production and distribution of seafood-related products. Marking on FAD is similar format to NR-1 and 2016-1; found in camp,no,Not mapped,
2016-11,not recorded,not recorded,,,dark green hood-- not clear,Mia 1264A,found in camp,no,Not mapped,
2016-12,not recorded,not recorded,,,"just the dome of a sattlelite buoy found in camp, electronics presumed to have been scavanged by station staff.",573; Yolanda-1,found in camp,no,Not mapped,
2017-01,9-May-17,not recorded,,,"Satellite buoy only found. Blue writing on dome: ""PESCADEGFER"" on one side and ""DM"" on the other.",M3i-232939,"Quick Google search indicated ""Pescadegfer"" may be an Ecuadorian based company that runs a tuna fishing fleet. They have a boat named the ""Don Mario"" which could potentially be the ""DM"" on the dome.  Interstingly enough they also have a boat called the ""Lucia"" which is the name written on the Ponga that washed up in 2016 at Palmyra. The buoy was brought to camp by TNC donor/visitor trip and left at the dock with no other information provided. Its not known if they came across a raft or just the satellite buoy.",no,Not mapped,
2017-2,17-Oct-17,Bird Island Pond,-162.06237800000,5.87135600000,"Bamboo with black netting and yellow foam floats, no locator beacon",,Found in pond in between Holei and Bird Islands,no,,
2018-1,12-Aug-18,South Shore of Kaula Island              ,-162.08611111000,5.87361111000,6' x 8' bamboo raft with black netting. Satlink locator beacon,DSL + 156115,"""D D"" marked in red paint on the dome. Found together with FAD 2018-2. Kydd Pollock took beacon to Honolulu ",no,Good,
2018-2,12-Aug-18,South Shore of Kaula Island            ,-162.08611111000,5.87361111000,"""229051"" painted on top if it in red. Spanish and english writing on manufacture labels",M3i-229051,Found together with FAD 2018-1,no,Good,
2019-1,20-Jan-19,Southern Tip of Barren island below the high tide mark                     ,-162.04611111000,5.87138889000,6'x8' Bamboo with 6 sealed PVC pipes secured under the raft. Blue twine securing the black netting on the bamboo frame. Green MI locator beacon,PR00443,Kydd Pollock took beacon to Honolulu ,,Good,
2019-10,25-Jun-19,South tip of Barren Island    ,-162.04643500000,5.87158100000,"larger 6'x 5' raft,and electronic buoy w. SN: ""M3i-528149"" on metal plate, ""M3+-528149"" on UPC code sticker. Plus second UPC code with ""PR00443""",M3+-528149,"Stefan, and Mitch kaufman did a recon on July 1st. The FAD could fit on a lagoon boat but probably only with one person driving. Did not collect it on that trip.",,Good,
2019-11,8-Jul-19,N. shore of Cooper Island ,-162.07541000000,5.89270000000,"5' x 4' bamboo, syrofoam float raft",N/A,removed to burn pit on 8-July,no,Good,
2019-13,25-Oct-19,South Shore of Paradise,-162.08975000000,5.87401000000,4' x 4' bamboo raft with black netting,N/A,Mostly buried no tracker found,,Good,
2019-3,22-Apr-19,,-162.08680000000,5.88970000000,"6' x 8' bamboo raft with black netting. Locator beacon- ""ROB 103022"" handwritten in red on top and spanish and english manufacturing labels. 'Made in Spain'",M31-103022,Two small  serial number written underneath cover with solar panels ,no,Good,
2019-4,15-May-19,Outside Aviation Island  ,-162.06694444000,5.89138889000,""" S E G"" written on top in white",ISL+199257,Tracker only. One small serial number attached between solar panels but unable to distinguish until taken apart,no,Good,
2019-5,15-May-19,North Barren Island ,-162.04075000000,5.88129000000,"""M M"" handwritten on top in red with no additional writing",ISL+211943,Tracker only. One small serial number attached between solar panels but unable to distinguish until taken apart,no,Good,
2019-6,24-May-19,BetweenTortogonia and  Crazy Corals.,-162.12080000000,5.89170000000,"""SEA ENCOUNTER"" handpainted on top of it in white with no additional writing",ISL+109465,Tracker found hooked around coral structures by ~70 lbs of engangled line (also removed from reef). ,no,Good,
2019-7,26-May-19,North Beach of Aviation,-162.06523000000,5.89075000000,"""Mamautari""",ISL+252629,Tracker only found below high tide line.,,Good,
2019-8,7-Jun-19,Papala/ Pelican Island   ,-162.05936300000,5.87607800000,"""Helen 5135"" Large metal cylinder type",N/A,Quarter buried at high tide line.,,Good,
2019-9,7-Jun-19,Papala/Pelican Island ,-162.05921600000,5.87563200000,one 4' x 4' bamboo raft with black netting,N/A,"Need to check and confirm this is different from the intact 5x 6 foot raft found on the South Point of barren, which is 2019-10 on this database. Always a chance it could have floated over but its probably two different.",,Good,
2020-1,4-Feb-20,North Shore Menge just past ranger marker clearing; ,-162.08884000000,5.89119000000,one 4 by 4 foot raft made of styrafoam and blue cloth,,Half buried under large log. No tracker found.,,Good,
2020-2,6-Feb-20,North Coral Gardens,-162.04154000000,5.88159000000,"6' x 6' raft made of bamboo, PVC pipe, shade cloth, and black netting. Green locator beacon","M3+-579201, PR00443","On tracker written in red ""579201 BB"". Pulled off reef and brought to Cooper that day. Was spotted in pictures taken from plane on Feb. 3",,"Check - is this the same as ""North Barren Island""?",
2020-3,6-Feb-20,Fore Reef North Barren,-162.03954000000,5.88376000000,"6' x 6' raft made of bamboo, PVC pipe, shade cloth, and black netting. With two 4 by 8 ft panels of black netting and bamboo attached underneath. Gray locator beacon",SLX+292561,"On tracker written in black ""CC"". Pulled off reef with Zenobia and taken to Cooper the next day.",,Good,
2020-4,11-Mar-20,North Beach Cooper   ,-162.08672000000,5.88976000000,Gray round tracker only,ISL+303036,nothing written on tracker. Picture taken after hauled off beach by Allie.,,Good,
2020-5,15-Apr-20,"Aviation north shore, ",-162.06782000000,5.89194000000,"FAD tracker with green body, black handles","M3+532204, PR00443","Written in navy blue on tracker ""TX-TX2 532204""",,Good,
2020-6,17-Apr-20,North Beach Cooper   ,-162.08688000000,5.88983000000,"black netting, bamboo, teal green cord, cut in half yellow foam net floats",,"only partial raft, pulled off beach following week",,Good,
2020-7,18-Apr-20,"Aviation north shore, ",-162.06452000000,5.88994000000,"FAD tracker with green body, black handles",none,"was about 10 feet inland of high tide line, appears to be stripped of battery and electronics package, had 12348 written on it",,Good,
2020-8,20-Apr-20,  North Cooper Runway Beach ,-162.06959700000,5.89258100000,3.5ft long by 2ft wide cylinder made of pieces of white foam wrapped in fine black netting and tied up with green rope. Had pieces of tires and a stick attached. ,,not sure if FAD or homemade bumper but picked up anyway,,Good,
2020-9,25-Apr-20,"North-South Causeway east side,",-162.07037000000,5.88293000000,"FAD tracker with green body, black handles, and green rope","M3i-103292, PR00546","Written in white on tracker ""103292""",,Good,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
