sciname,year,presence
Hemidactylus frenatus,2019,1
Hemidactylus frenatus,2020,1
Lepidodactylus lugubris,2010,1
Lepidodactylus lugubris,2011,1
Lepidodactylus lugubris,2012,1
Lepidodactylus lugubris,2013,1
Lepidodactylus lugubris,2014,1
Lepidodactylus lugubris,2015,1
Lepidodactylus lugubris,2016,1
Lepidodactylus lugubris,2017,1
Lepidodactylus lugubris,2018,1
Lepidodactylus lugubris,2019,1
Lepidodactylus lugubris,2020,1
Paspalum scrobiculatum,2010,0
Paspalum scrobiculatum,2011,0
Paspalum scrobiculatum,2012,0
Paspalum scrobiculatum,2013,0
Paspalum scrobiculatum,2014,0
Paspalum scrobiculatum,2015,0
Paspalum scrobiculatum,2016,0
Paspalum scrobiculatum,2017,0
Paspalum scrobiculatum,2018,0
Paspalum scrobiculatum,2019,0
Paspalum scrobiculatum,2020,0
Pennaria disticha,2010,1
Pennaria disticha,2011,1
Pennaria disticha,2012,1
Pennaria disticha,2013,1
Pennaria disticha,2014,1
Pennaria disticha,2015,1
Pennaria disticha,2016,1
Pennaria disticha,2017,1
Pennaria disticha,2018,1
Pennaria disticha,2019,1
Pennaria disticha,2020,1
Pheidole megacephala,2010,1
Pheidole megacephala,2011,1
Pheidole megacephala,2012,1
Pheidole megacephala,2013,1
Pheidole megacephala,2014,1
Pheidole megacephala,2015,1
Pheidole megacephala,2016,1
Pheidole megacephala,2017,1
Pheidole megacephala,2018,1
Pheidole megacephala,2019,1
Pheidole megacephala,2020,1
Rattus rattus,2010,1
Rattus rattus,2011,0
Rattus rattus,2012,0
Rattus rattus,2013,0
Rattus rattus,2014,0
Rattus rattus,2015,0
Rattus rattus,2016,0
Rattus rattus,2017,0
Rattus rattus,2018,0
Rattus rattus,2019,0
Rattus rattus,2020,0
Zoobotryon verticillatum,2010,1
Zoobotryon verticillatum,2011,1
Zoobotryon verticillatum,2012,1
Zoobotryon verticillatum,2013,1
Zoobotryon verticillatum,2014,1
Zoobotryon verticillatum,2015,1
Zoobotryon verticillatum,2016,1
Zoobotryon verticillatum,2017,1
Zoobotryon verticillatum,2018,1
Zoobotryon verticillatum,2019,1
Zoobotryon verticillatum,2020,1
