sciname,trend
Nesofregetta fuliginosa,Decreasing
Onychoprion lunatus,Decreasing
Anous ceruleus,Stable
Pterodroma neglecta,Decreasing
Pterodroma alba,Decreasing
Pterodroma cervicalis,Increasing
Pterodroma heraldica,Decreasing
Pterodroma longirostris,Decreasing
Puffinus bailloni,Stable
Puffinus nativitatis,Stable
Pterodroma cookii,Increasing
Pterodroma inexpectata,Decreasing
Pterodroma nigripennis,Decreasing
Pterodroma leucoptera,Decreasing
Pterodroma pycrofti,Increasing
Pterodroma sandwichensis,Decreasing
Pterodroma solandri,Increasing
Pterodroma ultima,Unknown
Sula dactylatra,Decreasing
Sula leucogaster,Decreasing
Sula sula,Decreasing
Ardenna bulleri,Stable
Pterodroma brevipes,Decreasing
Phaethon rubricauda,Stable
Anous stolidus,Stable
Anous minutus,Stable
Fregata ariel,Decreasing
Phaethon lepturus,Decreasing
Ardenna carneipes,Decreasing
Ardenna pacifica,Decreasing
Ardenna tenuirostris,Decreasing
Bulweria bulwerii,Stable
Fregata minor,Decreasing
Onychoprion fuscatus,Unknown
Ardenna grisea,Decreasing
Phoebastria nigripes,Increasing
Hydrobates castro,Decreasing
Hydrobates leucorhous,Decreasing
Puffinus newelli,Decreasing
Puffinus lherminieri,Decreasing
Ablennes hians,Unknown
Acanthurus leucopareius,Stable
Acanthurus nigroris,Stable
Albula glossodonta,Decreasing
Aluterus scriptus,Unknown
Amblygobius phalaena,NA
Amanses scopas,Stable
Antennarius coccineus,NA
Anampses melanurus,Unknown
Apogon angustatus,NA
Aphareus furca,Unknown
Apolemichthys griffisi,Stable
Apogon kallopterus,NA
Aprion virescens,Unknown
Asterropteryx semipunctata,Unknown
Atule mate,Unknown
Balistapus undulatus,NA
Balistoides viridescens,NA
Bothus mancus,Stable
Brotula multibarbata,Unknown
Carcharhinus albimarginatus,Decreasing
Caesio caerulaurea,Unknown
Cantherhines dumerilii,Stable
Carangoides ferdau,Unknown
Carcharhinus galapagensis,Unknown
Caranx ignobilis,Unknown
Caranx lugubris,Stable
Caracanthus maculatus,Unknown
Caranx melampygus,Unknown
Carcharhinus melanopterus,Decreasing
Carangoides orthogrammus,Unknown
Cantherhines pardalis,Unknown
Caranx sexfasciatus,Decreasing
Caesio teres,Unknown
Chromis acares,NA
Chromis agilis,NA
Chrysiptera biocellata,NA
Chanos chanos,Unknown
Chaetodon declivis,Stable
Chaetodon flavocoronatus,Stable
Chrysiptera glauca,NA
Chromis lepidolepis,NA
Chromis margaritifer,NA
Cheilodipterus quinquelineatus,NA
Chlorurus sordidus,Unknown
Chromis ternatensis,NA
Cheilinus undulatus,Decreasing
Chromis vanderbilti,NA
Chromis viridis,NA
Chromis xanthura,NA
Cirrhitops hubbardi,Unknown
Cirrhitichthys oxycephalus,Unknown
Cirrhitus pinnulatus,Unknown
Conger cinereus,Unknown
Dascyllus aruanus,NA
Dascyllus auripinnis,NA
Dendrochirus biocellatus,Unknown
Decapterus macarellus,Unknown
Diodon hystrix,Unknown
Echidna nebulosa,Unknown
Elagatis bipinnulata,Stable
Epinephelus lanceolatus,Decreasing
Eviota prasites,Stable
Fusigobius neophytus,Stable
Gnathodentex aureolineatus,Unknown
Gobiodon rivulatus,Unknown
Grammistes sexlineatus,Stable
Gymnothorax flavimarginatus,Unknown
Gymnothorax javanicus,Unknown
Gymnothorax meleagris,Unknown
Gymnosarda unicolor,Unknown
Gymnothorax undulatus,Unknown
Halichoeres ornatissimus,Unknown
Heteropriacanthus cruentatus,Unknown
Helcogramma striatum,NA
Hologymnosus annulatus,Unknown
Kuhlia sandvicensis,NA
Kyphosus cinerascens,Unknown
Kyphosus pacificus,NA
Kyphosus vaigiensis,Unknown
Lethrinus olivaceus,Unknown
Lepidozygus tapeinosoma,NA
Lethrinus xanthochilus,Unknown
Liza vaigiensis,NA
Lutjanus bohar,Unknown
Lutjanus fulvus,Unknown
Lutjanus gibbus,Unknown
Lutjanus monostigma,Stable
Manta birostris,NA
Malacanthus latovittatus,NA
Melichthys niger,Unknown
Melichthys vidua,NA
Monotaxis grandoculis,Unknown
Mulloidichthys flavolineatus,Stable
Mulloidichthys mimicus,Unknown
Mulloidichthys vanicolensis,Stable
Myripristis adusta,Unknown
Myripristis amaena,Unknown
Myripristis berndti,Unknown
Myripristis earlei,Unknown
Myripristis kuntee,Unknown
Myripristis murdjan,Unknown
Myripristis woodsi,Unknown
Naso annulatus,Stable
Naso caesius,Stable
Nemateleotris magnifica,Unknown
Neoniphon opercularis,Unknown
Neoniphon sammara,Unknown
Odonus niger,NA
Ostracion meleagris,NA
Oxycheilinus digramma,Unknown
Paracirrhites arcatus,Unknown
Parupeneus barberinus,Unknown
Parupeneus cyclostomus,Stable
Paragobiodon echinocephalus,Stable
Paracirrhites forsteri,Unknown
Paracirrhites hemistictus,Unknown
Parupeneus insularis,Unknown
Parupeneus multifasciatus,Unknown
Pervagor janthinosoma,Stable
Pervagor marginalis,Unknown
Pempheris oualensis,NA
Plectroglyphidodon dickii,NA
Plectroglyphidodon imparipennis,NA
Plectroglyphidodon johnstonianus,NA
Plectroglyphidodon phoenixensis,NA
Pomacentrus brachialis,NA
Pomacentrus coelestis,NA
Pseudocoris aurantiofasciata,Unknown
Pseudanthias bartlettorum,Stable
Pseudanthias dispar,Stable
Pseudobalistes flavimarginatus,NA
Pseudanthias olivaceus,Stable
Pseudocoris yamashiroi,Unknown
Pterois antennata,Unknown
Ptereleotris evides,Unknown
Ptereleotris heteroptera,Unknown
Pterocaesio marri,Stable
Ptereleotris microlepis,NA
Pterocaesio tile,Unknown
Ptereleotris zebra,Unknown
Pygoplites diacanthus,Stable
Rhinecanthus aculeatus,NA
Rhinecanthus rectangulus,NA
Sargocentron caudimaculatum,Unknown
Sargocentron diadema,Unknown
Saurida gracilis,Stable
Sargocentron microstoma,Unknown
Sargocentron punctatissimum,Unknown
Sargocentron spiniferum,Unknown
Sargocentron tiere,Unknown
Scarus altipinnis,Unknown
Scarus forsteni,Unknown
Scarus ghobban,Unknown
Scomberoides lysan,Unknown
Scorpaenodes parvipinnis,Unknown
Selar crumenophthalmus,Stable
Sebastapistes cyanostigma,Unknown
Seriola dumerili,Unknown
Sphyraena barracuda,Unknown
Sphyraena helleri,NA
Sphyrna lewini,Decreasing
Sphyrna mokarran,Decreasing
Sphyraena qenie,NA
Stegastes albifasciatus,NA
Stegastes aureus,NA
Stegastes fasciolatus,NA
Stegastes lividus,NA
Stegastes nigricans,NA
Sufflamen bursa,NA
Sufflamen chrysopterum,NA
Synodus variegatus,Stable
Tylosurus crocodilus,Unknown
Valenciennea strigata,Unknown
Xanthichthys auromarginatus,NA
Xanthichthys caeruleolineatus,NA
Zanclus cornutus,Stable
